
 V0.2 01-27 Solving Poisson's equation in a cylinder
 with Dirichlet boundary conditions by MG: 
 Meshsize of grid: 0.00100000
 Number of relaxations: 3
 Maximal number of iterations: 100

 Structure a= 0.75000000 b= 0.75000000 l= 1.00000000
 Generate_processes(); 
   take p_level: 4 max_level:    10
 Grid_generation(); 
  I Basic grid generation by edges; 
   I.2 edge correction; 
  II Calculation of points and cells; 
   II.2 construct basic points; 
        send them; 
   II.3 fullfill B1B2; 
   II.4 construct cell points; 
   II.61 interior cell part 1; 
   II.62 sends of boundary cells; 
   II.63 interior cell part 2; 
        send them; 
   II.7 calc multigrid points; 
   II.7 remove exterior points; 
   II.8 calc interior points; 
   II.9 send coarse grid points; 
  III Calculation of boundary; 
   III.2 boundary cells; 
 Information about processes: 
 Number of processes: 2048
 Number of active processes: 2048
 Initialize_variable(); 
   III.3.1 construct boundary points; 
         remove edges; 
   III.4.1 storage for boundary cells; 
   III.4.2 storage for cells and stencils; 
   III.4.3 storage for boundary matrices; 
 IV. calculate lists; 
   IV. 2. interior points and points near boundary; 
   IV. 5. pointer in boundary cells; 
   IV. 6. restriction weights; 
   IV. 7. coarsest level; 
   IV. 8. initialize lists; 
   IV. 9. calc mg; 
   V.1 prepare evaluation; 
   V.2 prepare parallel; 
   a) ; 
   b) ; 
   c) ; 
   end prepare ; 

 information about finest level: 
------------------------------------ 
number of interior points is:       438350211
number of points near the boundary: 3876574
number of boundary points:          3890574
number of points in boundary cells: 672000
sum of all points:                  446789359
ratio of points interior / near boundary: 51.94247227
 Number of grid points: 446789359.00000000

 MG: 
-------------------- 
0. Iteration: Error: Max:0.72621912,  L2: 0.35428565 T= 26.48505890
41. Iteration: Error: Max:0.00000371,  L2: 0.00000148 T= 20.02602899
42. Iteration: Error: Max:0.00000364,  L2: 0.00000144 T= 19.80495393
43. Iteration: Error: Max:0.00000359,  L2: 0.00000141 T= 20.16058004
44. Iteration: Error: Max:0.00000355,  L2: 0.00000139 T= 20.19381201
45. Iteration: Error: Max:0.00000352,  L2: 0.00000137 T= 20.37185597
46. Iteration: Error: Max:0.00000350,  L2: 0.00000136 T= 20.01379097
47. Iteration: Error: Max:0.00000349,  L2: 0.00000135 T= 20.22992599
48. Iteration: Error: Max:0.00000348,  L2: 0.00000135 T= 19.28957295
49. Iteration: Error: Max:0.00000347,  L2: 0.00000134 T= 20.51475704
50. Iteration: Error: Max:0.00000347,  L2: 0.00000134 T= 20.19390893
51. Iteration: Error: Max:0.00000346,  L2: 0.00000134 T= 19.51111305
52. Iteration: Error: Max:0.00000346,  L2: 0.00000133 T= 20.01100600
53. Iteration: Error: Max:0.00000346,  L2: 0.00000133 T= 19.96278906
54. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.63404906
55. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.93221200
56. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.86062992
57. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 20.19176292
58. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 20.16409707
59. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 20.44374204
60. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.96566308
61. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 20.25693202
62. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 20.59431994
63. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.46058011
64. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 21.06983697
65. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 20.86177993
66. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.72291005
67. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.74595308
68. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 20.33633804
69. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.65524399
70. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.72385395
71. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 20.03611302
72. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.90802598
73. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.75497699
74. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 20.13153493
75. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.80546796
76. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 21.03559506
77. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 20.64528906
78. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.46033800
79. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 20.15968609
80. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 20.72073102
81. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.51624894
82. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.67690694
83. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.98105705
84. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.68311989
85. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.93573403
86. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 20.17875600
87. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.97777998
88. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.88190889
89. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 20.29178095
90. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.94212008
91. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 20.44171500
92. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 20.37443292
93. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.47597599
94. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 20.65845799
95. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 21.12660503
96. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.73435199
97. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.74110901
98. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 20.47260404
99. Iteration: Error: Max:0.00000345,  L2: 0.00000133 T= 19.49411798
Ttot= 3411.28569901 Tsol= 2023.28957391 Tgrid= 1387.91975999
 
 End: 
 adding counter 5 event 12 Cycles
 adding counter 0 event 1 Instructions completed
 adding counter 7 event 0 TLB misses
 adding counter 2 event 9 Stores completed
 adding counter 3 event 5 Loads completed
 adding counter 4 event 5 FPU 0 instructions
 adding counter 1 event 35 FPU 1 instructions
 adding counter 6 event 9 FMAs executed


################################################################################
 hpmcount (V 2.4.2) summary (aggregate of 2048 POE tasks)
 Average execution time (wall clock time)   : 3458.3 seconds
 Average amount of time in user mode        : 3416.614824 seconds
 Average amount of time in system mode      : 18.167236 seconds
 Total maximum resident set size            : 219 Gbytes
 Total shared memory use in text segment    : 480934480360 Kbytes*sec
 Total unshared memory use in data segment  : 4398046509056 Kbytes*sec
 PM_CYC (Cycles)                            : 2.61321457420405e+15
 PM_INST_CMPL (Instructions completed)      : 2.10390910056753e+15
 PM_TLB_MISS (TLB misses)                   : 2259604071765        
 PM_ST_CMPL (Stores completed)              : 340392288457282
 PM_LD_CMPL (Loads completed)               : 641587625327946
 PM_FPU0_CMPL (FPU 0 instructions)          : 8711656496736
 PM_FPU1_CMPL (FPU 1 instructions)          : 2464028082370
 PM_EXEC_FMA (FMAs executed)                : 1940583483295
 Utilization rate                           : 98.3745273437499 %
 Avg number of loads per TLB miss           : 405.429657226562
 Load and store operations                  : 981979913.776999 M
 MIPS                                       : 608375.363
 Instructions per cycle                     : 0.805063476562499
 HW Float points instructions per Cycle     : 0.00404785156249981
 Total Floating point instructions + FMAs   : 13116268.048 M
 Total Float point instructions + FMA rate  : 3792.65100000001 Mflip/s
 Average FMA percentage                     : 29.4356967773439 %
 Average computation intensity              : 0.0141435546875001 
################################################################################
